"customer_id";"customer_name";"stat_time";"backlog";"last_received_on";"total_received";"database_connections";"idle_database_connections";"pct_processor_time";"available_m_bytes";"pct_paging_file_usage"
31;"Super Restoration";"2017-02-13 00:00:22";2;"2017-02-13 00:00:21";10363220;1;0;4.16605;21584;9.0014
30;"Chicago Water & Fire";"2017-02-13 00:00:43";2;"2017-02-13 00:00:41";22880496;9;0;5.30243;21587;9.00134
30;"Chicago Water & Fire";"2017-02-13 00:01:15";1;"2017-02-13 00:01:13";22880507;9;0;0.378147;21568;9.00134
12;"C & C Complete Services";"2017-02-13 00:01:25";1;"2017-02-13 00:01:24";3936589;1;0;12.1206;21575;9.00134
31;"Super Restoration";"2017-02-13 00:03:22";1;"2017-02-13 00:03:22";10363264;1;0;14.7722;21549;9.00059
12;"C & C Complete Services";"2017-02-13 00:03:43";1;"2017-02-13 00:03:42";3936608;1;0;3.40847;21555;9.00054
30;"Chicago Water & Fire";"2017-02-13 00:03:54";12;"2017-02-13 00:03:53";22880623;9;0;14.3934;21554;9.0005
30;"Chicago Water & Fire";"2017-02-13 00:04:36";8;"2017-02-13 00:04:34";22880669;10;0;10.9843;21528;9.00044
30;"Chicago Water & Fire";"2017-02-13 00:05:18";1;"2017-02-13 00:05:18";22880699;10;0;1.8933;21510;9.0004
30;"Chicago Water & Fire";"2017-02-13 00:06:33";3;"2017-02-13 00:06:31";22880775;11;0;10.6055;21548;8.99849
30;"Chicago Water & Fire";"2017-02-13 00:07:26";8;"2017-02-13 00:07:25";22880804;11;0;11.3631;21521;8.99849
30;"Chicago Water & Fire";"2017-02-13 00:08:19";2;"2017-02-13 00:08:19";22880825;11;0;7.95394;21551;8.99841
30;"Chicago Water & Fire";"2017-02-13 00:09:22";7;"2017-02-13 00:09:21";22880896;11;0;10.9843;21543;8.99822
31;"Super Restoration";"2017-02-13 00:09:54";2;"2017-02-13 00:09:53";10363355;1;0;8.33275;21543;8.99817
30;"Chicago Water & Fire";"2017-02-13 00:10:15";13;"2017-02-13 00:10:15";22880926;11;0;10.9843;21532;8.99815
12;"C & C Complete Services";"2017-02-13 00:12:54";4;"2017-02-13 00:12:53";3936687;1;0;9.09033;21579;8.99796
52;"Restoration Experts";"2017-02-13 00:14:51";1;"2017-02-13 00:14:51";63528;1;0;3.02968;21569;8.99774
31;"Super Restoration";"2017-02-13 00:15:33";1;"2017-02-13 00:15:33";10363418;1;0;2.27211;21545;8.99754
30;"Chicago Water & Fire";"2017-02-13 00:15:44";3;"2017-02-13 00:15:44";22881054;10;0;29.9238;21542;8.99747
12;"C & C Complete Services";"2017-02-13 00:15:44";12;"2017-02-13 00:15:44";3936746;1;0;29.9238;21542;8.99747
31;"Super Restoration";"2017-02-13 00:15:55";2;"2017-02-13 00:15:54";10363422;1;0;5.68122;21533;8.99743
30;"Chicago Water & Fire";"2017-02-13 00:16:26";2;"2017-02-13 00:16:21";22881115;10;0;4.92362;21539;8.99736
30;"Chicago Water & Fire";"2017-02-13 00:18:12";2;"2017-02-13 00:18:12";22881150;10;0;3.02968;21544;8.99727
12;"C & C Complete Services";"2017-02-13 00:18:34";14;"2017-02-13 00:18:33";3936810;1;0;25.3783;21514;8.99792
31;"Super Restoration";"2017-02-13 00:18:55";1;"2017-02-13 00:18:55";10363454;1;0;3.02968;21520;8.99774
12;"C & C Complete Services";"2017-02-13 00:19:48";1;"2017-02-13 00:19:47";3936821;1;0;1.51451;21488;8.99763
30;"Chicago Water & Fire";"2017-02-13 00:20:51";10;"2017-02-13 00:20:50";22881226;9;0;12.4994;21512;8.99632
30;"Chicago Water & Fire";"2017-02-13 00:21:23";30;"2017-02-13 00:21:23";22881263;9;0;36.3632;21553;8.99605
12;"C & C Complete Services";"2017-02-13 00:22:16";2;"2017-02-13 00:22:16";3936834;1;0;1.51453;21493;8.99593
30;"Chicago Water & Fire";"2017-02-13 00:22:27";1;"2017-02-13 00:22:26";22881297;13;0;5.30243;21490;8.99593
30;"Chicago Water & Fire";"2017-02-13 00:25:48";6;"2017-02-13 00:25:48";22881357;13;0;12.4994;21515;8.99579
31;"Super Restoration";"2017-02-13 00:28:06";1;"2017-02-13 00:28:06";10363534;1;0;3.67585;21518;8.99568
7;"Full Steam Ahead";"2017-02-13 00:30:35";13;"2017-02-13 00:30:34";2270252;6;0;14.3934;21538;8.99378
12;"C & C Complete Services";"2017-02-13 00:30:45";1;"2017-02-13 00:30:45";3936871;1;0;3.67585;21508;8.99378
31;"Super Restoration";"2017-02-13 00:31:28";5;"2017-02-13 00:31:27";10363708;1;0;14.0146;21506;8.99354
30;"Chicago Water & Fire";"2017-02-13 00:31:49";12;"2017-02-13 00:31:47";22881453;10;0;12.1206;21513;8.99347
31;"Super Restoration";"2017-02-13 00:32:21";4;"2017-02-13 00:32:21";10363728;1;0;8.08763;21512;8.9934
12;"C & C Complete Services";"2017-02-13 00:33:25";1;"2017-02-13 00:33:24";3936884;1;0;3.67585;21524;8.99339
30;"Chicago Water & Fire";"2017-02-13 00:33:46";6;"2017-02-13 00:33:45";22881515;10;0;10.9843;21526;8.99337
31;"Super Restoration";"2017-02-13 00:34:18";1;"2017-02-13 00:34:17";10363765;1;0;14.0146;21531;8.99328
30;"Chicago Water & Fire";"2017-02-13 00:34:18";2;"2017-02-13 00:34:09";22881752;9;0;14.0146;21531;8.99328
31;"Super Restoration";"2017-02-13 00:34:28";1;"2017-02-13 00:34:28";10363770;1;0;8.33275;21528;8.99325
30;"Chicago Water & Fire";"2017-02-13 00:34:39";4;"2017-02-13 00:34:39";22881921;10;0;9.09033;21530;8.99325
30;"Chicago Water & Fire";"2017-02-13 00:34:50";9;"2017-02-13 00:34:45";22881933;11;0;14.7722;21530;8.9932
30;"Chicago Water & Fire";"2017-02-13 00:35:11";2;"2017-02-13 00:35:10";22882020;11;0;13.6358;21535;8.99312
30;"Chicago Water & Fire";"2017-02-13 00:35:43";1;"2017-02-13 00:35:40";22882137;11;0;18.9389;21536;8.99298
30;"Chicago Water & Fire";"2017-02-13 00:36:14";2;"2017-02-13 00:36:09";22882308;11;0;11.7419;21529;8.99288
30;"Chicago Water & Fire";"2017-02-13 00:36:25";1;"2017-02-13 00:36:24";22882322;11;0;6.43879;21529;8.99284
30;"Chicago Water & Fire";"2017-02-13 00:36:46";2;"2017-02-13 00:36:40";22882512;11;0;26.5147;21524;8.99281
