[1005/090213:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/090256:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/090947:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091042:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091141:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091214:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/093429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/093501:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/093520:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124145:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124712:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124856:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/124916:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125127:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125512:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125659:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/125926:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130043:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130223:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130408:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130610:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/130805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131125:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131610:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131711:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131721:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/131737:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/132258:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/132557:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/132945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/133003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/133517:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/133619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/133831:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/133904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/134004:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/134124:ERROR:file_io.cc(30)] read: expected 4, observed 0
