[1005/081244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081428:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081738:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081845:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081859:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081932:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/081954:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082016:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082033:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082056:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082122:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082246:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082835:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/082849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/084410:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/084622:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/085113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/085410:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/085511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091341:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/091651:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/092428:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/092502:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/092634:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/093123:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/093315:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/110445:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/110632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/110703:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/110832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/111031:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/111731:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/112204:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/112248:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/112322:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/112415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1005/134803:ERROR:file_io.cc(30)] read: expected 4, observed 0
